age,workclass,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,salary
27,0,428030,13,0,0,50,0
28,5,149624,13,0,0,40,1
27,0,253814,9,0,0,25,0
21,0,312956,9,0,0,40,0
34,0,483777,9,0,0,40,0
18,0,183930,9,0,0,12,0
33,0,37274,13,0,0,65,0
44,4,181344,10,0,0,38,1
43,0,114580,10,0,0,40,0
30,0,633742,10,0,0,45,0
40,0,286370,4,0,0,40,1
37,3,29054,10,0,0,42,1
34,0,304030,9,0,0,40,0
41,1,143129,13,0,0,40,0
53,0,135105,13,0,0,50,0
31,0,99928,14,0,0,50,0
58,5,109567,16,0,0,1,1
38,0,155222,10,0,0,28,0
24,0,159567,10,0,0,40,0
41,4,523910,13,0,0,40,0
47,0,120939,10,0,0,45,0
41,3,130760,13,0,0,24,0
23,0,197387,3,0,0,40,0
36,0,99374,10,0,0,40,0
40,3,56795,14,14084,0,55,1
35,0,138992,14,7298,0,40,1
24,1,32921,9,0,0,40,0
26,0,397317,14,0,1876,40,0
19,0,170653,9,0,0,40,0
51,0,259323,13,0,0,50,1
42,4,254817,10,0,1340,40,0
37,5,48211,9,0,0,35,0
18,0,140164,7,0,0,40,0
36,0,128757,13,7298,0,36,1
35,0,36270,9,0,0,60,0
58,2,210563,9,15024,0,35,1
17,0,65368,7,0,0,12,0
44,4,160943,9,0,0,40,0
37,0,208358,9,0,0,40,1
35,0,153790,10,0,0,40,0
60,0,85815,9,0,0,40,0
54,2,125417,4,0,0,40,1
37,0,635913,13,0,0,60,1
50,0,313321,12,0,0,40,0
38,0,182609,13,0,0,50,0
45,0,109434,13,0,0,55,0
25,0,255004,6,0,0,40,0
31,0,197860,10,0,0,40,0
64,0,187656,2,0,0,40,0
90,0,51744,9,0,2206,40,0
54,0,176681,9,0,0,20,0
53,4,140359,1,0,0,35,0
18,0,243313,9,0,0,40,0
60,0,24215,6,0,0,10,0
66,1,167687,9,1409,0,50,0
75,0,314209,11,0,0,20,0
65,0,176796,9,0,0,40,0
35,0,538583,7,3674,0,40,0
41,0,130408,9,0,0,38,0
25,0,159732,10,0,0,42,0
33,0,110978,10,0,0,40,0
28,0,76714,15,0,0,55,1
59,5,268700,9,0,0,40,0
40,5,170525,10,0,0,38,0
41,0,180138,13,0,0,50,1
38,4,115076,14,0,0,70,1
23,0,115458,9,0,0,40,0
40,0,347890,13,0,0,40,1
41,1,196001,9,0,0,20,0
24,5,273905,12,0,0,50,0
20,0,119156,10,0,0,20,0
38,0,179488,10,0,1741,40,0
56,0,203580,9,0,0,35,0
58,0,236596,9,0,0,45,1
32,0,183916,9,0,0,34,0
40,0,207578,12,0,1977,60,1
45,0,153141,9,0,0,40,0
41,0,112763,15,0,0,40,1
42,0,390781,13,0,0,40,0
59,4,171328,6,0,0,30,0
19,4,27382,10,0,0,40,0
58,0,259014,10,0,0,20,0
42,1,303044,9,0,0,40,1
20,0,117789,9,0,0,40,0
32,0,172579,9,0,0,30,0
45,0,187666,11,0,0,45,0
50,0,204518,4,0,0,40,0
36,0,150042,13,0,0,40,0
45,0,98092,9,0,0,60,0
17,0,245918,7,0,0,12,0
59,0,146013,10,4064,0,40,0
26,0,378322,7,0,0,40,0
37,2,257295,10,0,0,75,1
19,0,218956,10,0,0,24,0
64,0,21174,9,0,0,40,1
33,0,185480,13,0,0,45,0
33,0,222205,9,0,0,40,1
61,0,69867,9,0,0,40,1
17,0,191260,5,1055,0,24,0
50,1,30653,14,2407,0,98,0
27,4,209109,14,0,0,35,0
30,0,70377,9,0,0,40,0
43,0,477983,9,0,0,40,0
44,0,170924,10,7298,0,40,1
35,0,190174,10,0,0,40,0
25,0,193787,10,0,0,40,0
24,0,279472,10,7298,0,48,1
22,0,34918,13,0,0,15,0
42,4,97688,10,5178,0,40,1
34,0,175413,12,0,0,45,0
60,0,173960,13,0,0,42,0
21,0,205759,9,0,0,40,0
57,3,425161,14,15024,0,40,1
41,0,220531,15,0,0,60,1
50,0,176609,10,0,0,45,0
25,0,371987,13,0,0,40,0
50,0,193884,4,0,0,40,0
36,0,200352,13,0,0,45,0
31,0,127595,9,0,0,40,0
29,4,220419,13,0,0,56,0
21,0,231931,10,0,0,45,0
27,0,248402,13,0,0,40,0
65,0,111095,9,0,0,16,0
37,2,57424,13,0,0,60,0
39,0,157443,14,3464,0,40,0
24,0,278130,9,0,0,40,0
38,0,169469,9,0,0,80,0
48,0,146268,13,7688,0,40,1
21,0,153718,10,0,0,25,0
31,0,217460,9,0,0,45,1
55,0,238638,9,4386,0,40,1
24,0,303296,10,0,0,40,0
43,0,173321,9,0,0,40,0
26,0,193945,12,0,0,45,0
46,0,83082,12,0,0,33,0
35,0,193815,12,0,0,40,1
41,2,34987,10,0,0,54,1
26,0,59306,13,0,0,40,0
34,0,142897,14,7298,0,35,1
19,0,860348,10,0,0,25,0
36,1,205607,13,0,0,40,1
22,0,199698,10,0,0,15,0
24,0,191954,10,0,0,40,0
77,1,138714,10,0,0,40,0
22,0,399087,3,0,0,40,0
29,0,423158,10,0,0,40,0
62,0,159841,9,0,0,24,0
39,1,174308,9,0,0,40,0
43,0,50356,10,0,1485,50,0
35,0,186110,9,0,0,45,0
29,0,200381,7,0,0,40,0
76,1,174309,14,0,0,10,0
63,1,78383,9,0,0,45,0
23,0,211601,11,0,0,15,0
43,0,187728,10,0,1887,50,1
58,1,321171,9,0,0,40,0
66,0,127921,9,2050,0,55,0
41,0,206565,10,0,0,45,0
26,0,224563,13,0,0,40,0
47,0,178686,11,0,0,40,0
55,4,98545,6,0,0,40,0
53,0,242606,9,0,0,40,0
17,0,270942,3,0,0,48,0
30,0,94235,9,0,0,40,0
49,0,71195,14,0,0,60,0
19,0,104112,9,0,0,30,0
45,0,261192,9,0,0,40,0
26,0,94936,12,0,0,40,0
38,0,296478,11,7298,0,40,1
36,5,119272,9,7298,0,40,1
33,0,85043,9,0,0,20,0
22,5,293364,10,0,0,40,0
43,1,241895,13,0,0,42,0
67,0,36135,7,0,0,8,0
30,0,151989,11,0,0,40,0
56,0,101128,12,0,0,25,0
31,0,156464,13,0,0,25,0
33,0,117963,13,0,0,40,1
26,0,192262,9,0,0,40,0
33,0,111363,13,0,0,40,1
46,4,329752,7,0,0,30,0
59,0,372020,13,0,0,40,1
38,3,95432,9,0,0,40,1
65,0,161400,7,0,0,40,0
40,0,96129,11,0,0,40,1
42,0,111949,9,0,0,35,0
26,1,117125,5,0,0,40,0
36,0,348022,6,0,0,24,0
62,0,270092,14,0,0,40,1
43,0,180609,13,0,0,45,0
43,0,174575,13,0,1564,45,1
22,0,410439,9,0,0,55,0
28,0,92262,9,0,0,40,0
56,1,183081,10,0,0,45,0
22,0,362589,12,0,0,15,0
57,0,212448,13,0,0,45,1
39,0,481060,9,0,0,40,0
26,3,185885,10,0,0,15,0
17,0,89821,7,0,0,10,0
40,5,184018,11,0,0,38,1
45,0,256649,9,0,0,40,0
44,0,160323,9,0,0,40,0
20,4,350845,10,0,0,10,0
33,0,267404,9,0,0,40,0
23,0,35633,10,0,0,40,0
46,1,80914,14,0,0,30,0
38,0,172927,9,0,0,50,0
54,0,174319,9,0,0,40,0
46,0,214955,3,0,2339,45,0
25,0,344991,10,0,0,40,0
46,0,108699,10,0,0,40,0
36,4,117312,10,0,0,40,0
23,0,396099,9,0,0,25,0
29,0,134152,9,0,0,40,0
44,0,162028,10,0,2415,6,1
19,0,25429,10,0,0,16,0
19,0,232392,9,0,0,40,0
35,0,220098,9,0,0,40,1
27,0,301302,13,0,0,50,0
46,1,277946,12,0,0,40,0
34,5,98101,13,7688,0,45,1
34,0,196164,9,0,0,35,0
44,0,115562,10,0,0,40,0
45,0,96975,10,0,0,40,0
20,0,137300,9,0,0,35,0
25,0,86872,13,0,0,55,1
52,2,132178,13,0,0,50,1
20,0,416103,10,0,0,40,0
28,0,108574,10,0,0,40,0
50,5,288353,13,0,0,40,1
34,0,227689,11,0,0,64,0
28,0,166481,4,0,2179,40,0
41,0,445382,14,0,1977,65,1
28,0,110145,9,0,0,40,0
46,1,317253,9,0,0,25,0
28,0,123147,10,0,1887,40,1
32,0,364657,10,0,0,50,0
41,4,42346,10,0,0,24,0
24,0,241951,9,0,0,40,0
33,0,118500,10,0,0,40,0
46,0,188386,16,15024,0,60,1
31,5,1033222,10,0,0,40,0
35,0,92440,8,0,0,50,1
52,0,190762,2,0,0,40,0
30,0,426017,7,0,0,19,0
34,4,243867,7,0,0,40,0
34,5,240283,9,0,0,40,0
20,0,61777,10,0,0,30,0
17,0,175024,7,2176,0,18,0
32,5,92003,13,0,0,40,1
29,0,188401,9,0,0,40,0
33,0,228528,6,0,0,35,0
25,0,133373,9,0,0,60,0
36,3,255191,14,0,1408,40,0
23,0,204653,9,0,0,72,0
63,2,222289,9,0,0,40,1
47,4,287480,14,0,0,40,0
80,0,107762,9,0,0,24,0
17,0,202521,7,0,0,40,0
40,1,204116,13,2174,0,40,0
30,0,29662,12,0,0,25,1
27,0,116358,10,0,1980,40,0
33,0,208405,14,0,0,50,1
34,4,284843,9,594,0,60,0
34,4,117018,10,0,0,40,0
23,0,81281,10,0,0,40,0
42,4,340148,10,0,0,40,0
29,0,363425,13,0,0,40,0
45,0,45857,9,0,0,28,0
24,3,191073,9,0,0,40,0
44,0,116632,10,0,0,40,1
27,0,405855,5,0,0,40,0
20,0,298227,10,0,0,35,0
44,0,290521,9,0,0,40,0
51,0,56915,9,0,0,40,0
20,0,146538,9,0,0,40,0
17,0,258872,7,0,0,5,0
19,0,206399,9,0,0,40,0
45,2,197332,10,0,0,55,1
60,0,245062,9,0,0,40,1
42,0,197583,12,0,0,40,1
44,1,234885,9,0,0,40,1
40,0,72887,11,0,0,40,1
30,0,180374,9,0,0,40,0
38,0,351299,10,0,0,50,0
23,0,54012,9,0,0,60,0
32,0,115745,10,0,0,40,0
44,0,116632,12,0,0,40,0
54,4,288825,9,0,0,40,0
32,0,132601,13,0,0,50,0
50,0,193374,2,0,0,40,0
24,0,170070,13,0,0,20,0
37,0,126708,9,0,0,60,0
52,0,35598,9,0,0,40,0
38,0,33983,10,0,0,40,0
49,0,192776,14,0,1977,45,1
30,0,118551,13,0,0,16,1
60,0,201965,10,0,0,40,1
22,0,139883,10,0,0,40,0
35,0,285020,9,0,0,40,0
30,0,303990,9,0,0,60,0
67,0,49401,11,0,0,24,0
46,0,279196,13,0,0,40,0
17,0,211870,5,0,0,6,0
22,0,281432,10,0,0,30,0
27,0,161155,6,0,0,40,0
23,0,197904,9,0,0,35,0
33,0,111746,12,0,0,45,0
43,1,170721,10,0,0,20,0
28,5,70100,13,0,0,20,0
41,0,193626,9,0,0,40,0
52,0,271749,8,594,0,40,0
25,0,189775,10,0,0,20,0
63,0,401531,2,0,0,35,0
59,4,286967,9,0,0,45,0
45,4,164427,13,0,0,40,0
38,0,91039,13,15024,0,60,1
40,0,347934,9,0,0,35,0
46,3,371373,9,0,0,40,0
35,0,32220,12,0,0,60,0
34,0,187251,9,0,0,25,0
33,0,178107,13,0,0,20,0
41,0,343121,9,0,0,36,0
20,0,262749,10,0,0,40,0
23,0,403107,3,0,0,40,0
26,0,64293,10,0,0,35,0
72,0,303588,9,0,0,20,0
23,4,324960,9,0,0,40,0
62,4,114060,9,0,0,40,0
52,0,48925,10,0,0,40,0
58,0,180980,10,0,0,42,0
25,0,181054,13,0,0,40,0
24,0,388093,13,0,0,40,0
19,0,249609,10,0,0,8,0
43,0,112131,10,0,0,40,0
47,4,543162,9,0,0,40,0
39,0,91996,9,0,0,40,0
49,0,141944,11,0,1380,42,0
53,0,251804,3,0,0,30,0
32,0,37070,11,0,0,45,0
34,0,337587,10,0,0,50,1
28,0,189346,9,0,0,45,0
57,0,222216,11,0,0,38,0
25,0,267044,10,0,0,20,0
20,0,214635,10,0,0,24,0
21,0,204226,10,0,0,35,0
34,0,108116,13,0,0,50,1
38,2,99146,13,15024,0,80,1
50,0,196232,9,7688,0,50,1
24,4,248344,10,0,0,50,0
37,4,186035,10,0,0,45,1
44,0,177905,10,0,0,58,1
28,0,85812,10,0,0,40,0
42,0,221172,13,0,0,40,1
74,0,99183,10,0,0,9,0
38,1,190387,9,0,0,50,0
44,1,202692,14,0,0,40,0
44,0,109339,7,0,0,46,0
26,0,108658,9,0,0,40,0
36,0,197202,9,0,0,40,0
41,0,101739,12,0,0,50,1
67,0,231559,15,20051,0,48,1
39,4,207853,8,0,0,50,0
57,0,190942,2,0,0,30,0
29,0,102345,11,0,0,40,0
31,2,41493,13,0,0,45,0
34,0,190027,9,0,0,40,0
44,0,210525,10,0,0,40,0
29,0,133937,16,0,0,40,0
30,0,237903,10,0,0,40,0
27,0,163862,9,0,0,40,0
27,0,201872,10,0,0,50,0
32,0,84179,9,0,0,45,0
58,0,51662,6,0,0,8,0
35,4,233327,10,0,0,40,0
21,0,259510,9,0,0,36,0
28,0,184831,10,0,0,40,0
46,1,245724,10,0,0,50,0
36,1,27053,9,0,0,40,0
72,0,205343,7,0,0,40,0
35,0,229328,9,0,0,40,0
33,3,319560,11,0,0,40,1
69,0,136218,7,0,0,40,0
35,0,54576,9,0,0,40,0
31,0,323069,9,0,0,20,0
34,0,148291,9,0,0,32,0
30,0,152453,7,0,0,40,0
28,0,114053,13,0,0,55,0
54,0,212960,13,0,0,35,1
47,0,264052,10,0,0,50,1
24,0,82804,9,0,0,40,0
52,1,334273,13,0,0,60,1
20,0,27337,9,0,0,48,0
43,2,188436,14,5013,0,45,0
45,0,433665,4,0,0,40,0
29,1,110663,9,0,0,35,0
47,0,87490,14,0,0,42,0
24,0,354351,9,0,0,40,0
51,0,95469,9,0,0,40,0
17,0,242718,7,0,0,12,0
37,0,22463,11,0,1977,40,1
27,0,158156,16,0,0,70,0
29,0,350162,13,0,0,40,1
18,0,165532,8,0,0,25,0
36,1,28738,12,0,0,35,0
58,4,283635,13,0,0,40,0
26,1,86646,10,0,0,45,0
65,0,195733,10,0,0,30,1
57,0,69884,9,0,0,40,1
59,0,199713,9,0,0,40,0
27,0,181659,9,0,0,40,0
31,1,340939,13,0,0,40,0
21,0,197747,10,0,0,24,0
29,0,34292,10,0,0,60,0
18,0,156764,7,0,0,40,0
52,0,25826,6,0,1887,47,1
57,2,103948,13,0,0,80,0
42,0,137390,9,0,0,40,0
55,0,105138,9,0,0,40,0
60,0,39352,4,0,0,48,1
31,0,168387,13,7688,0,40,1
23,0,117789,13,0,0,40,0
27,0,267147,9,0,0,40,0
23,0,99399,10,0,0,25,0
42,1,214242,15,0,1902,50,1
25,0,200408,10,2174,0,40,0
49,0,136455,13,0,0,45,0
32,0,239824,13,0,0,40,0
19,0,217039,10,0,0,28,0
60,0,51290,4,0,0,40,0
42,4,175674,5,0,0,40,0
35,1,194404,12,0,0,40,0
48,0,45612,9,0,0,37,0
51,0,410114,14,0,0,40,1
29,0,182521,9,0,0,40,0
36,4,339772,9,0,0,40,0
17,0,169658,6,0,0,21,0
52,0,200853,14,6849,0,60,0
24,0,247564,9,0,0,40,0
24,0,249909,9,0,0,50,0
26,4,208122,13,1055,0,40,0
27,0,109881,13,0,0,20,0
39,0,207824,9,0,0,60,0
30,0,369027,9,0,0,45,0
50,1,114117,9,0,0,32,0
52,2,51048,13,0,0,55,0
46,0,102388,15,15024,0,45,1
23,0,190483,13,0,0,20,0
45,0,462440,7,0,0,20,0
65,0,109351,5,0,0,24,0
29,0,34383,11,0,0,55,0
47,0,241832,5,0,0,40,0
30,0,124187,9,0,0,60,0
34,0,153614,9,0,0,45,1
38,1,267556,9,0,0,64,0
33,0,205469,10,0,0,40,1
49,0,268090,13,0,0,26,1
47,1,165039,10,0,0,40,0
49,4,120451,6,0,0,40,0
43,0,154374,10,15024,0,60,1
30,0,103649,13,0,0,40,1
58,1,35723,9,0,0,60,0
19,0,262601,9,0,0,14,0
21,0,226181,13,0,0,40,0
33,0,175697,13,15024,0,60,1
47,2,248145,3,0,0,50,0
52,1,289436,16,0,0,60,1
26,0,75654,9,0,0,55,0
60,0,199378,9,0,0,40,0
21,0,160968,10,0,0,40,0
36,0,188563,10,5178,0,50,1
31,0,55849,10,0,0,45,0
50,2,195322,16,0,0,40,1
31,4,402089,9,0,0,40,0
71,0,78277,9,0,0,15,0
58,0,158611,9,0,0,50,0
30,5,169496,13,0,0,40,1
20,0,130959,10,0,0,20,0
24,0,556660,9,4101,0,50,0
35,0,292472,16,0,0,40,1
38,5,143774,10,0,0,45,0
27,0,288341,9,0,0,32,0
29,5,71592,10,0,0,40,0
70,0,167358,5,1111,0,15,0
34,0,106742,9,0,0,45,0
44,0,219288,4,0,0,35,0
43,0,174524,9,0,0,40,1
44,1,335183,8,0,0,40,1
35,0,261293,14,0,0,60,0
27,0,111900,10,0,0,40,0
43,4,194360,14,0,0,38,0
20,0,81145,10,0,0,25,0
42,0,341204,12,8614,0,40,1
27,5,249362,10,3411,0,40,0
42,0,247019,9,0,0,40,1
20,0,114746,7,0,1762,40,0
24,0,172146,5,0,1721,40,0
48,3,110457,10,0,0,40,0
17,0,80077,7,0,0,20,0
17,1,368700,7,0,0,10,0
33,0,182556,13,0,0,40,1
50,2,219420,9,0,0,50,1
22,0,240817,9,2597,0,40,0
17,0,102726,8,0,0,16,0
32,0,226267,10,0,0,40,0
31,0,125457,9,0,0,45,0
58,1,204021,9,0,0,50,0
29,4,92262,9,0,0,48,0
37,0,161141,11,0,0,40,1
34,1,190290,9,0,0,40,1
23,4,430828,10,0,0,40,0
18,5,59342,7,0,0,5,0
34,0,136721,9,0,0,40,0
66,0,149422,4,0,0,4,0
45,4,86644,13,0,0,55,0
41,0,195124,14,0,0,35,0
26,0,167350,9,0,0,30,0
54,4,113000,10,0,0,40,0
24,0,140027,10,0,0,45,0
42,0,262425,10,0,0,50,0
20,0,316702,10,0,0,20,0
23,5,335453,13,0,0,20,0
25,0,202480,12,0,0,45,0
35,0,203628,14,0,0,60,1
31,0,118710,14,0,1902,40,1
30,0,189620,13,0,0,40,0
19,0,475028,9,0,0,20,0
36,4,110866,13,0,0,50,0
31,0,243605,13,0,1380,40,0
21,0,163870,10,0,0,30,0
31,1,80145,10,0,0,40,0
46,0,295566,16,25236,0,65,1
44,0,63042,13,0,0,50,1
40,0,229148,8,0,0,40,0
45,0,242552,10,0,0,40,0
60,0,177665,9,0,0,35,0
18,0,208103,7,0,0,25,0
28,0,296450,13,0,0,40,0
36,0,70282,10,0,0,40,0
36,0,271767,13,0,0,40,0
40,0,144995,11,4386,0,40,0
36,4,382635,13,0,0,35,0
31,0,295697,9,0,0,40,0
33,0,194141,9,0,0,40,0
19,5,378418,9,0,0,40,0
22,0,214399,10,0,0,15,0
34,0,217460,13,0,0,45,1
33,0,182556,9,0,0,40,0
41,0,125831,9,0,2051,60,0
29,0,271328,13,4650,0,40,0
50,4,50459,9,0,0,42,1
42,0,162140,13,7298,0,45,1
43,0,177937,13,0,0,40,1
44,0,111502,9,0,0,40,0
20,0,299047,10,0,0,20,0
31,0,223212,9,0,0,40,0
65,1,118474,7,9386,0,59,1
23,0,352139,10,0,0,24,0
55,0,173093,10,0,0,40,0
26,0,181655,11,0,2377,45,0
25,0,332702,11,0,0,15,0
45,0,51164,10,0,0,40,0
35,0,234901,10,2407,0,40,0
36,0,131414,10,0,0,36,0
43,5,260960,13,0,0,50,0
56,0,156052,9,594,0,20,0
42,0,279914,13,0,0,40,1
19,0,192453,10,0,0,25,0
55,1,200939,9,0,0,72,0
42,0,151408,14,14084,0,50,1
26,0,112847,11,0,0,40,0
17,0,316929,8,0,0,20,0
42,4,126319,13,0,0,40,1
55,0,197422,9,7688,0,40,1
32,0,267736,10,0,0,40,0
29,0,267034,7,0,0,40,0
46,5,193047,13,0,0,37,0
29,5,356089,13,7688,0,40,1
22,0,223515,13,0,0,20,0
58,1,87510,6,0,0,40,0
23,0,145111,9,0,0,50,0
39,0,48093,9,0,0,40,0
27,0,31757,11,0,0,38,0
54,0,285854,9,0,0,40,1
33,4,120064,13,0,0,45,0
46,3,167381,9,0,0,40,1
37,0,103408,9,0,0,40,0
36,0,101460,9,0,0,18,0
59,4,420537,9,0,0,38,1
34,4,119411,9,0,0,40,0
53,2,128272,16,0,0,70,1
51,0,386773,13,0,0,55,1
32,0,283268,6,0,0,42,0
31,5,301526,10,0,0,40,0
22,0,151790,10,0,0,30,0
47,1,106252,13,0,0,50,0
32,0,188557,9,0,0,40,0
26,0,171114,10,0,0,38,0
37,0,327323,3,0,0,32,0
31,0,244147,9,0,0,55,0
37,0,280282,11,0,0,24,1
55,0,116442,9,0,0,38,0
23,4,282579,11,0,0,56,0
36,0,51838,10,0,0,40,0
34,0,73585,14,0,0,40,0
43,0,226902,13,0,0,50,1
54,0,279129,10,0,0,40,0
43,5,146908,10,0,0,40,0
28,0,196690,11,0,1669,42,0
40,0,130760,11,0,0,50,1
41,1,49572,10,0,0,60,0
40,0,237601,13,0,0,55,1
42,0,169628,10,0,0,38,0
61,1,36671,9,0,2352,50,0
18,0,231193,8,0,0,30,0
59,0,192130,9,0,0,16,0
21,0,149704,9,1055,0,40,0
48,0,102102,11,0,0,50,1
41,2,32185,13,0,0,40,0
18,0,196061,10,0,0,33,0
23,0,211046,9,2463,0,40,0
60,0,31577,9,0,0,60,1
22,0,162343,10,0,0,20,0
61,0,128831,9,0,0,40,0
25,0,316688,9,0,0,40,0
46,0,90758,14,0,0,35,1
43,0,274363,13,0,1902,40,1
43,0,154538,12,0,0,40,0
24,0,106085,9,0,1721,30,0
68,1,315859,7,0,0,20,0
31,0,51471,9,0,0,38,0
17,0,193830,7,0,0,20,0
32,0,231043,9,5178,0,48,1
50,0,23780,14,0,0,40,0
33,0,169879,13,3103,0,47,1
64,0,270333,13,0,0,40,1
20,0,138768,9,0,0,30,0
30,0,191571,9,0,0,36,0
22,0,219941,10,0,0,40,0
